epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,641.285,1.1879,0.79947,1.21113,0.88628,0.81643,0.90963,0.58246,1.23596,0.74777,1.2422,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,661.085,1.15352,0.80571,1.20513,0.88966,0.83883,0.91599,0.58803,1.19758,0.70699,1.22461,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,680.998,1.16417,0.79114,1.19733,0.8633,0.84952,0.91335,0.59174,1.22082,0.71492,1.23134,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,699.632,1.15744,0.79935,1.19418,0.87235,0.82563,0.90506,0.58169,1.22467,0.71905,1.24136,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,719.556,1.15784,0.78865,1.19963,0.86257,0.85071,0.90985,0.59025,1.21212,0.71333,1.2141,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,739.319,1.17135,0.78924,1.19913,0.88925,0.80766,0.90289,0.58332,1.22691,0.7201,1.24953,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,759.071,1.14865,0.79634,1.19728,0.88691,0.83215,0.91099,0.58289,1.22548,0.72383,1.23327,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,778.668,1.14529,0.79489,1.19194,0.87844,0.81286,0.89986,0.58023,1.20313,0.7523,1.21936,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,798.124,1.15648,0.78153,1.19818,0.87956,0.81628,0.90168,0.57444,1.24914,0.75606,1.23986,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,816.913,1.1433,0.7708,1.19052,0.87951,0.81855,0.90762,0.58884,1.20781,0.73132,1.22832,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,835.803,1.14259,0.78128,1.18421,0.89118,0.82058,0.90673,0.58033,1.22947,0.73032,1.24006,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,855.369,1.13728,0.77983,1.19121,0.87826,0.8309,0.90753,0.58144,1.22853,0.72103,1.22384,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,874.873,1.14516,0.77439,1.18346,0.91001,0.79554,0.90391,0.57691,1.22607,0.71758,1.24286,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,894.489,1.13583,0.77728,1.18383,0.86806,0.83836,0.90276,0.58659,1.22149,0.70427,1.24954,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,914.466,1.13035,0.77689,1.18194,0.88997,0.82522,0.90554,0.5754,1.2476,0.72114,1.24894,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,934.699,1.13685,0.7853,1.1837,0.89038,0.81565,0.90549,0.57797,1.23658,0.70943,1.23496,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,954.515,1.11861,0.74421,1.1701,0.87785,0.83175,0.91399,0.59524,1.22325,0.70423,1.22853,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,974.262,1.12259,0.74695,1.16297,0.91764,0.80936,0.91878,0.59348,1.22658,0.6889,1.22594,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,994.1,1.11637,0.76433,1.16405,0.89398,0.81124,0.90659,0.58446,1.2204,0.70984,1.23736,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,1013.86,1.11513,0.7629,1.17227,0.87398,0.81673,0.89749,0.56948,1.25493,0.73652,1.25802,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
