epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.385,1.68399,2.73715,1.583,0.51237,0.43447,0.42784,0.20162,1.50695,3.91615,1.3332,0.00166512,0.00166512,0.0683627
2,246.086,1.64247,1.9357,1.49124,0.52934,0.46724,0.47471,0.22598,1.47093,7.85049,1.33274,0.00332236,0.00332236,0.0366866
3,368.876,1.69775,1.9284,1.53578,0.46284,0.42279,0.39028,0.17101,1.5902,5.74035,1.4221,0.00497018,0.00497018,0.00500113
4,490.902,1.73285,1.95052,1.56478,0.53127,0.46715,0.47476,0.22895,1.50927,6.83992,1.36185,0.00495757,0.00495757,0.00495757
5,608.926,1.69643,1.83476,1.54109,0.55503,0.46734,0.49294,0.23878,1.50659,4.9285,1.36808,0.00494343,0.00494343,0.00494343
6,726.583,1.6506,1.74753,1.51925,0.59556,0.52667,0.56324,0.28292,1.42163,4.06819,1.30693,0.00492929,0.00492929,0.00492929
7,844.09,1.62815,1.69298,1.49496,0.64427,0.52347,0.5768,0.2895,1.45369,1.96154,1.29489,0.00491514,0.00491514,0.00491514
8,961.523,1.60586,1.62541,1.48009,0.63192,0.52666,0.5594,0.27495,1.42581,2.65449,1.28612,0.004901,0.004901,0.004901
9,1079.12,1.59369,1.59238,1.46707,0.63836,0.55508,0.60493,0.31283,1.38151,2.83063,1.27481,0.00488686,0.00488686,0.00488686
10,1197.17,1.57589,1.55261,1.44902,0.70052,0.59562,0.66913,0.34858,1.36547,3.16254,1.22911,0.00487271,0.00487271,0.00487271
11,1314.67,1.55659,1.51267,1.4322,0.67869,0.59655,0.65233,0.33755,1.36774,2.27723,1.23636,0.00485857,0.00485857,0.00485857
12,1432.37,1.55491,1.50477,1.435,0.6873,0.60974,0.67284,0.35825,1.34832,3.23099,1.22626,0.00484443,0.00484443,0.00484443
13,1549.92,1.5336,1.45364,1.42174,0.70599,0.61693,0.68346,0.36537,1.33583,1.95467,1.20729,0.00483029,0.00483029,0.00483029
14,1667.23,1.53316,1.44166,1.41771,0.71899,0.63085,0.7003,0.37838,1.31839,2.52256,1.19743,0.00481614,0.00481614,0.00481614
