epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.822,1.69,2.75871,1.59085,0.51848,0.39654,0.40288,0.19496,1.50828,4.45824,1.38924,0.00166512,0.00166512,0.0683627
2,299.434,1.64196,1.9548,1.49726,0.57929,0.4786,0.49808,0.23771,1.49789,2.54549,1.3242,0.00332236,0.00332236,0.0366866
3,424.422,1.69003,1.90121,1.52747,0.43544,0.4091,0.36701,0.16645,1.59971,4.49286,1.42996,0.00497018,0.00497018,0.00500113
4,543.354,1.73368,1.94229,1.56928,0.54556,0.43646,0.4569,0.22278,1.52828,3.34319,1.38287,0.00495757,0.00495757,0.00495757
5,661.006,1.69765,1.8377,1.53523,0.58226,0.49114,0.52097,0.25919,1.48208,6.15923,1.35284,0.00494343,0.00494343,0.00494343
6,777.506,1.66252,1.75241,1.50957,0.62837,0.5202,0.56725,0.28779,1.46337,2.88934,1.32031,0.00492929,0.00492929,0.00492929
7,896.983,1.64006,1.69687,1.4959,0.62546,0.52743,0.57508,0.29079,1.41621,3.06658,1.28699,0.00491514,0.00491514,0.00491514
8,1017.11,1.611,1.64154,1.47446,0.65002,0.53852,0.60225,0.31608,1.38902,4.42654,1.25877,0.004901,0.004901,0.004901
9,1136.02,1.60016,1.593,1.46425,0.68218,0.5594,0.62364,0.32705,1.3842,2.65079,1.25588,0.00488686,0.00488686,0.00488686
10,1259.19,1.58972,1.56234,1.46093,0.67081,0.55715,0.63416,0.34463,1.34779,2.10447,1.23986,0.00487271,0.00487271,0.00487271
11,1383.35,1.56472,1.525,1.4453,0.67388,0.56622,0.63185,0.33922,1.34251,2.43748,1.24233,0.00485857,0.00485857,0.00485857
12,1507.98,1.54954,1.48445,1.42874,0.70835,0.59745,0.66972,0.36069,1.34969,2.87675,1.2235,0.00484443,0.00484443,0.00484443
