epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.0884,1.03996,0.67608,1.15187,0.97141,0.94172,0.98629,0.78482,0.78636,0.41871,0.9598,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429
2,48.4725,1.06569,0.67953,1.15407,0.95028,0.94252,0.98149,0.75054,0.86579,0.46679,0.9959,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568
3,67.8989,1.12491,0.74157,1.17822,0.92831,0.8985,0.96357,0.69995,0.9872,0.56444,1.07262,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508
4,87.142,1.19801,0.83403,1.2172,0.90607,0.87623,0.95292,0.65669,1.07107,0.63389,1.12108,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,106.307,1.21903,0.86455,1.23669,0.90078,0.87296,0.93625,0.64932,1.07386,0.65492,1.12478,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,125.592,1.23541,0.85901,1.24432,0.88109,0.85566,0.91926,0.59796,1.15367,0.76361,1.18867,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,144.855,1.22558,0.86223,1.23336,0.89031,0.83446,0.91796,0.59895,1.16978,0.70799,1.19096,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,164.016,1.22549,0.86603,1.23555,0.8961,0.83714,0.91842,0.60698,1.14449,0.73734,1.1753,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,183.295,1.22986,0.87168,1.24164,0.85559,0.84799,0.91617,0.60422,1.17167,0.72666,1.19879,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,202.542,1.22244,0.86604,1.23589,0.8712,0.79954,0.8895,0.56763,1.20794,0.77904,1.23828,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,221.565,1.22937,0.87939,1.23814,0.90486,0.82434,0.9157,0.59929,1.16163,0.75385,1.19734,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,240.709,1.20396,0.84622,1.23539,0.87441,0.85036,0.92435,0.61515,1.14027,0.72135,1.18794,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,259.699,1.19595,0.85697,1.23321,0.86251,0.81478,0.90008,0.57953,1.20256,0.77696,1.23527,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
