epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,622.129,1.16564,0.79089,1.19869,0.88699,0.84178,0.90682,0.59055,1.23317,0.7397,1.21947,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,640.46,1.16373,0.81002,1.20195,0.86348,0.8251,0.90369,0.58361,1.234,0.73602,1.22855,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,659.304,1.1586,0.7907,1.18682,0.8891,0.82242,0.90332,0.57645,1.27273,0.76926,1.25717,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,678.252,1.15504,0.7878,1.19014,0.88606,0.81424,0.90862,0.58083,1.24656,0.75018,1.23132,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,696.721,1.15174,0.79808,1.19454,0.87169,0.83505,0.90912,0.58722,1.23925,0.74492,1.23112,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,715.446,1.162,0.78579,1.19706,0.89937,0.80752,0.90692,0.59098,1.23434,0.73829,1.22569,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,734.64,1.13037,0.79494,1.18211,0.87738,0.79724,0.89629,0.56748,1.27189,0.77872,1.25068,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,753.147,1.15024,0.78735,1.19505,0.87296,0.82432,0.90803,0.58593,1.22941,0.73537,1.22895,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,772.157,1.14962,0.79015,1.19189,0.88894,0.80029,0.90279,0.57205,1.27291,0.75411,1.25658,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,790.627,1.13461,0.7784,1.18139,0.8319,0.84059,0.87601,0.56128,1.24989,0.78661,1.24395,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,809.402,1.12543,0.76286,1.17544,0.88554,0.80233,0.89466,0.56761,1.26822,0.78662,1.25861,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,828.383,1.14356,0.77606,1.18402,0.88928,0.8256,0.90688,0.58945,1.23659,0.75947,1.22074,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,846.869,1.13665,0.7696,1.1873,0.89191,0.82197,0.90517,0.58037,1.25479,0.73782,1.24603,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,865.43,1.13096,0.76387,1.17655,0.87255,0.82712,0.90256,0.57801,1.25207,0.73099,1.24741,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,884.138,1.13369,0.77393,1.18068,0.85685,0.8426,0.90071,0.56374,1.27645,0.75394,1.26415,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,902.588,1.12908,0.77558,1.18071,0.89608,0.83329,0.91705,0.58744,1.26845,0.71518,1.26577,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,921.229,1.12625,0.76596,1.17186,0.88497,0.82094,0.90984,0.58117,1.25334,0.73772,1.25293,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,939.922,1.1256,0.75075,1.16788,0.88896,0.8356,0.9098,0.57586,1.27435,0.72947,1.26475,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,958.247,1.12142,0.75135,1.16724,0.91037,0.78969,0.90262,0.58208,1.24203,0.74404,1.23514,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,976.865,1.12257,0.75778,1.17004,0.87195,0.82665,0.90313,0.58055,1.24943,0.73765,1.23021,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
