epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,52.6043,1.81324,3.33515,1.72647,0.37268,0.26966,0.23182,0.09685,1.93272,2.64416,1.72611,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429
2,73.4378,1.75852,2.4052,1.61636,0.39511,0.27927,0.28493,0.13162,1.9312,2.94342,1.8232,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568
3,93.0521,1.83914,2.22361,1.6927,0.42401,0.31167,0.2822,0.11449,2.08885,2.63706,2.15269,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508
4,112.356,1.90169,2.23045,1.76592,0.32933,0.21222,0.18547,0.07216,2.29539,4.54849,2.20209,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,131.445,1.85811,2.12026,1.74624,0.39305,0.25223,0.26158,0.11923,2.12841,2.65788,1.9978,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,150.745,1.84401,2.02289,1.7408,0.41183,0.20537,0.21342,0.10198,2.23533,3.12841,2.1752,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,169.929,1.79998,1.92403,1.67988,0.41187,0.41467,0.38085,0.16955,1.93362,2.07318,1.88307,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,188.823,1.78386,1.88146,1.67874,0.53773,0.4645,0.49328,0.23939,1.84755,2.00876,1.81615,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,207.846,1.75999,1.80907,1.65152,0.56094,0.50377,0.52305,0.23929,1.81564,1.84095,1.77122,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,226.978,1.72178,1.7419,1.62652,0.62574,0.50413,0.542,0.2637,1.81338,1.77745,1.76237,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,245.808,1.70055,1.71236,1.61229,0.64055,0.52352,0.56706,0.2782,1.78056,1.83386,1.72044,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,264.707,1.67804,1.6678,1.6064,0.67969,0.59687,0.64255,0.32201,1.69553,1.52974,1.66477,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,283.709,1.66729,1.63132,1.60096,0.69146,0.59385,0.63538,0.32245,1.7017,1.50868,1.67562,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,302.451,1.64624,1.60545,1.58549,0.64849,0.50094,0.54656,0.2741,1.75825,1.69419,1.6994,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,321.856,1.6326,1.57989,1.58081,0.69865,0.59227,0.65711,0.33652,1.66599,1.45575,1.64162,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,340.975,1.61293,1.53492,1.55293,0.71199,0.63519,0.68922,0.35804,1.62943,1.44263,1.61527,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,359.491,1.62409,1.50797,1.55713,0.7059,0.65245,0.68733,0.36338,1.58294,1.40114,1.57332,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,378.243,1.60238,1.48302,1.5227,0.74556,0.60687,0.70329,0.36901,1.65441,1.41475,1.61006,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,397.532,1.57065,1.43901,1.51917,0.77672,0.62031,0.69997,0.3625,1.60639,1.34041,1.57452,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,417.293,1.58956,1.44185,1.52595,0.73262,0.62357,0.70516,0.38368,1.56665,1.30741,1.54065,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,436.107,1.57511,1.40973,1.51066,0.72624,0.63146,0.70294,0.38671,1.54786,1.33901,1.54903,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,455.141,1.56263,1.40348,1.51123,0.76068,0.63978,0.71843,0.39156,1.56647,1.32232,1.54215,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,474.703,1.5422,1.35598,1.48191,0.74654,0.65126,0.71604,0.38833,1.56498,1.28571,1.53765,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,493.165,1.54762,1.39415,1.49657,0.74856,0.64691,0.71731,0.39937,1.5315,1.29479,1.53617,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,511.558,1.53166,1.34181,1.47942,0.78912,0.67116,0.75859,0.40527,1.55095,1.21377,1.52645,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,530.604,1.53429,1.33428,1.47483,0.74609,0.68378,0.73936,0.40622,1.51954,1.21554,1.48979,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,549.254,1.51446,1.32722,1.47468,0.72822,0.71835,0.74675,0.42165,1.55039,1.22405,1.53149,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,567.989,1.51846,1.29328,1.46875,0.80003,0.69031,0.75703,0.41901,1.54394,1.1934,1.50848,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,586.619,1.50245,1.31359,1.47893,0.79424,0.70649,0.7823,0.43307,1.51714,1.20445,1.50193,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,605.307,1.48598,1.27303,1.45047,0.8052,0.67698,0.76548,0.42467,1.54267,1.17837,1.51743,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,624.021,1.47985,1.26083,1.43591,0.75879,0.68024,0.74062,0.41685,1.51814,1.19571,1.50249,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,642.673,1.46425,1.2582,1.43485,0.81078,0.69107,0.7681,0.4389,1.50511,1.1197,1.48809,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,661.006,1.46498,1.21516,1.43377,0.78808,0.7177,0.78041,0.44341,1.50109,1.11739,1.4973,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
