epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.753,1.66925,2.744,1.57693,0.50731,0.43463,0.41779,0.1997,1.53327,4.53561,1.36243,0.00166512,0.00166512,0.0683627
2,275.706,1.62653,1.91898,1.47753,0.49214,0.4397,0.41905,0.19209,1.52906,4.63678,1.32705,0.00332236,0.00332236,0.0366866
3,396.68,1.69194,1.90853,1.52551,0.49949,0.42148,0.40583,0.17936,1.58047,5.93943,1.43795,0.00497018,0.00497018,0.00500113
4,515.907,1.73206,1.93283,1.56318,0.53942,0.43514,0.45229,0.21137,1.5909,3.71854,1.40955,0.00495757,0.00495757,0.00495757
5,632.64,1.69659,1.84673,1.54721,0.54355,0.44534,0.46837,0.22787,1.53391,4.74321,1.38334,0.00494343,0.00494343,0.00494343
6,749.623,1.65685,1.75677,1.50898,0.61717,0.50774,0.55089,0.2664,1.45551,3.25215,1.30001,0.00492929,0.00492929,0.00492929
7,867.157,1.63316,1.69178,1.49559,0.61044,0.51281,0.55561,0.26745,1.49438,2.87021,1.33805,0.00491514,0.00491514,0.00491514
8,984.339,1.60503,1.62364,1.47461,0.61793,0.54784,0.58868,0.29485,1.45143,3.00185,1.31041,0.004901,0.004901,0.004901
9,1101.51,1.59649,1.58429,1.46794,0.68088,0.56195,0.62656,0.31618,1.43647,3.53693,1.28861,0.00488686,0.00488686,0.00488686
10,1219.37,1.57704,1.56135,1.45865,0.66341,0.5581,0.62134,0.3161,1.41415,2.49903,1.26617,0.00487271,0.00487271,0.00487271
11,1337.01,1.56442,1.52584,1.44491,0.69958,0.56974,0.64703,0.33505,1.39857,2.23749,1.2604,0.00485857,0.00485857,0.00485857
12,1454.63,1.55666,1.50329,1.43958,0.70372,0.59633,0.66386,0.35135,1.3808,2.33236,1.25226,0.00484443,0.00484443,0.00484443
13,1571.89,1.54085,1.4663,1.42552,0.71598,0.58973,0.67428,0.35614,1.36721,2.88443,1.24317,0.00483029,0.00483029,0.00483029
14,1689.53,1.53631,1.45006,1.42153,0.71927,0.60386,0.68411,0.36861,1.3374,2.62964,1.22944,0.00481614,0.00481614,0.00481614
15,1806.81,1.52288,1.42921,1.41496,0.72548,0.6057,0.69286,0.37374,1.33776,2.33028,1.21408,0.004802,0.004802,0.004802
16,1924.94,1.51394,1.40022,1.40764,0.7141,0.62914,0.70191,0.38257,1.33312,1.96062,1.21838,0.00478786,0.00478786,0.00478786
17,2042.58,1.5011,1.37891,1.39363,0.72488,0.6287,0.70865,0.39156,1.30397,2.56551,1.19404,0.00477371,0.00477371,0.00477371
18,2159.97,1.49834,1.37047,1.39303,0.74354,0.62314,0.71648,0.39342,1.31674,2.16833,1.20113,0.00475957,0.00475957,0.00475957
19,2277.46,1.49192,1.34659,1.38473,0.72043,0.64298,0.71316,0.39751,1.29836,2.03256,1.19458,0.00474543,0.00474543,0.00474543
20,2395.05,1.48783,1.33901,1.37991,0.73451,0.64338,0.72669,0.40564,1.29565,1.71071,1.17737,0.00473129,0.00473129,0.00473129
21,2512.83,1.48055,1.33031,1.37848,0.74461,0.66692,0.74167,0.41354,1.28888,2.01173,1.17891,0.00471714,0.00471714,0.00471714
22,2630.89,1.47249,1.3145,1.36778,0.7595,0.65693,0.74665,0.41999,1.27938,2.04014,1.17301,0.004703,0.004703,0.004703
23,2748.3,1.46408,1.30256,1.36769,0.75568,0.655,0.74034,0.42029,1.26898,1.79914,1.17788,0.00468886,0.00468886,0.00468886
24,2865.66,1.46072,1.28947,1.36498,0.75479,0.66627,0.74658,0.42609,1.25812,1.64856,1.16636,0.00467471,0.00467471,0.00467471
25,2983.1,1.44966,1.28074,1.35816,0.77438,0.66084,0.75423,0.42961,1.25886,1.68308,1.16525,0.00466057,0.00466057,0.00466057
26,3100.53,1.45124,1.263,1.35841,0.77348,0.66903,0.75938,0.42874,1.25758,1.47026,1.1595,0.00464643,0.00464643,0.00464643
27,3217.76,1.4467,1.26126,1.35249,0.77273,0.677,0.76298,0.43456,1.26011,1.52536,1.15539,0.00463229,0.00463229,0.00463229
28,3335.19,1.44619,1.25475,1.35488,0.76856,0.68153,0.76219,0.43682,1.25106,1.54041,1.1564,0.00461814,0.00461814,0.00461814
29,3452.39,1.43614,1.23065,1.34115,0.7787,0.67916,0.76841,0.44172,1.24548,1.49994,1.15075,0.004604,0.004604,0.004604
30,3569.76,1.43557,1.23958,1.34333,0.77321,0.68296,0.7694,0.4429,1.23565,1.39241,1.14397,0.00458986,0.00458986,0.00458986
31,3687.26,1.42722,1.21333,1.33624,0.78378,0.68643,0.77572,0.44929,1.23314,1.39784,1.1422,0.00457571,0.00457571,0.00457571
32,3804.75,1.41863,1.2057,1.33558,0.776,0.68973,0.77472,0.44966,1.23169,1.41076,1.14162,0.00456157,0.00456157,0.00456157
33,3924.22,1.41521,1.20156,1.3308,0.78424,0.68802,0.7762,0.45292,1.23046,1.38881,1.13968,0.00454743,0.00454743,0.00454743
34,4042.47,1.40775,1.19469,1.32447,0.77665,0.69858,0.77909,0.45375,1.22607,1.3703,1.13936,0.00453329,0.00453329,0.00453329
35,4160.51,1.40924,1.18266,1.32595,0.78344,0.70254,0.7852,0.45743,1.22562,1.41049,1.14057,0.00451914,0.00451914,0.00451914
36,4278.22,1.40481,1.17744,1.32427,0.78555,0.69881,0.78805,0.45813,1.22161,1.43472,1.13459,0.004505,0.004505,0.004505
37,4395.8,1.40346,1.17455,1.31593,0.78949,0.6974,0.78662,0.45905,1.21963,1.4611,1.1302,0.00449086,0.00449086,0.00449086
38,4513.12,1.39311,1.15763,1.31525,0.79351,0.69889,0.78609,0.45939,1.21777,1.42567,1.12846,0.00447671,0.00447671,0.00447671
39,4630.53,1.39707,1.15211,1.314,0.79137,0.71196,0.79033,0.46271,1.20935,1.38406,1.12415,0.00446257,0.00446257,0.00446257
40,4748.07,1.38737,1.16004,1.30901,0.80412,0.69952,0.79018,0.46124,1.21407,1.41598,1.12719,0.00444843,0.00444843,0.00444843
41,4864.84,1.38577,1.15411,1.31022,0.80321,0.70105,0.79159,0.46341,1.21215,1.3998,1.12511,0.00443429,0.00443429,0.00443429
42,4981.47,1.38536,1.14217,1.30567,0.80466,0.70088,0.79505,0.46704,1.2072,1.4262,1.12308,0.00442014,0.00442014,0.00442014
43,5098.44,1.37252,1.12636,1.29989,0.80538,0.70303,0.79273,0.46784,1.20966,1.40274,1.12632,0.004406,0.004406,0.004406
44,5215.45,1.37868,1.1269,1.30147,0.80393,0.70722,0.79287,0.46741,1.20523,1.3803,1.12383,0.00439186,0.00439186,0.00439186
45,5332.52,1.38037,1.12309,1.29922,0.79891,0.71078,0.79383,0.46963,1.20169,1.40536,1.12194,0.00437771,0.00437771,0.00437771
46,5450.45,1.36905,1.10913,1.29312,0.79699,0.71641,0.79666,0.47152,1.20138,1.36549,1.12106,0.00436357,0.00436357,0.00436357
47,5567.34,1.3668,1.10215,1.29303,0.80018,0.71384,0.79666,0.47092,1.19997,1.37083,1.1195,0.00434943,0.00434943,0.00434943
48,5684.74,1.37079,1.10466,1.29348,0.79951,0.71511,0.79593,0.4716,1.19834,1.36808,1.11811,0.00433529,0.00433529,0.00433529
49,5801.97,1.36277,1.09503,1.29115,0.78911,0.7208,0.79826,0.47373,1.19763,1.33414,1.11832,0.00432114,0.00432114,0.00432114
50,5918.91,1.3564,1.0926,1.28532,0.79607,0.71839,0.79898,0.47441,1.19503,1.35716,1.11676,0.004307,0.004307,0.004307
51,6036.18,1.3588,1.08838,1.28491,0.80141,0.71462,0.79961,0.47434,1.19352,1.3685,1.11631,0.00429286,0.00429286,0.00429286
52,6153.46,1.35062,1.08194,1.28271,0.79748,0.71804,0.79931,0.47426,1.19273,1.34871,1.11719,0.00427871,0.00427871,0.00427871
53,6270.48,1.34739,1.074,1.28083,0.80234,0.71652,0.79964,0.47413,1.19312,1.33776,1.11676,0.00426457,0.00426457,0.00426457
54,6386.82,1.35256,1.08173,1.28424,0.80736,0.71096,0.79933,0.47379,1.19201,1.34596,1.116,0.00425043,0.00425043,0.00425043
55,6503.55,1.34923,1.07083,1.28383,0.80592,0.71547,0.80034,0.47485,1.1911,1.35009,1.11556,0.00423629,0.00423629,0.00423629
56,6620.38,1.349,1.07363,1.28154,0.80957,0.71554,0.80114,0.47577,1.18936,1.34823,1.11467,0.00422214,0.00422214,0.00422214
57,6737.43,1.34785,1.05906,1.2788,0.80286,0.71797,0.801,0.47604,1.18775,1.33983,1.11388,0.004208,0.004208,0.004208
58,6854.17,1.34355,1.06052,1.27652,0.80844,0.71912,0.8029,0.47659,1.18689,1.34045,1.11286,0.00419386,0.00419386,0.00419386
59,6970.94,1.33751,1.05141,1.27558,0.81086,0.71743,0.80385,0.47747,1.18549,1.34361,1.11179,0.00417971,0.00417971,0.00417971
60,7088.1,1.33741,1.05005,1.26831,0.80834,0.72105,0.80368,0.47802,1.18554,1.34437,1.11106,0.00416557,0.00416557,0.00416557
61,7205.15,1.33411,1.04721,1.26892,0.80812,0.72415,0.8034,0.47819,1.18525,1.34214,1.11081,0.00415143,0.00415143,0.00415143
62,7322.72,1.33624,1.04722,1.26797,0.80737,0.72391,0.80333,0.47873,1.18547,1.3351,1.11085,0.00413729,0.00413729,0.00413729
63,7439.9,1.32907,1.04155,1.26293,0.80528,0.72433,0.80311,0.47843,1.18499,1.32633,1.11047,0.00412314,0.00412314,0.00412314
64,7557.18,1.32661,1.03993,1.26197,0.80766,0.72165,0.80322,0.47948,1.18437,1.31641,1.10939,0.004109,0.004109,0.004109
65,7674.24,1.32778,1.03013,1.26141,0.81205,0.71978,0.80415,0.47951,1.18431,1.31261,1.1093,0.00409486,0.00409486,0.00409486
66,7790.74,1.31848,1.02584,1.25756,0.81181,0.7206,0.80534,0.48016,1.18456,1.30777,1.10934,0.00408071,0.00408071,0.00408071
67,7907.87,1.32295,1.01868,1.2588,0.81225,0.72084,0.80602,0.48019,1.18475,1.29943,1.10888,0.00406657,0.00406657,0.00406657
68,8025.24,1.316,1.01714,1.25439,0.80856,0.72587,0.80576,0.48041,1.18488,1.29335,1.1087,0.00405243,0.00405243,0.00405243
69,8142.27,1.31163,1.01545,1.25339,0.80584,0.72786,0.80501,0.48046,1.18479,1.29017,1.10817,0.00403829,0.00403829,0.00403829
70,8259.4,1.31404,1.01004,1.25381,0.80113,0.73001,0.80518,0.48075,1.18463,1.28595,1.10802,0.00402414,0.00402414,0.00402414
71,8376.14,1.31181,1.00818,1.24917,0.80201,0.73076,0.80568,0.48076,1.18502,1.28564,1.10826,0.00401,0.00401,0.00401
72,8493.55,1.31377,1.00671,1.25019,0.80387,0.72822,0.80571,0.48052,1.18509,1.28275,1.10835,0.00399586,0.00399586,0.00399586
73,8610.87,1.31129,1.00787,1.25302,0.80334,0.72928,0.80586,0.48085,1.18449,1.27733,1.10782,0.00398171,0.00398171,0.00398171
74,8728.06,1.31244,1.0016,1.2469,0.80892,0.72645,0.80585,0.48102,1.18364,1.27757,1.10721,0.00396757,0.00396757,0.00396757
75,8846.59,1.31301,1.00132,1.24568,0.80859,0.72721,0.80582,0.4811,1.18347,1.27804,1.10679,0.00395343,0.00395343,0.00395343
76,8965.34,1.30337,0.99115,1.24747,0.81182,0.72746,0.80586,0.48135,1.18267,1.27779,1.10629,0.00393929,0.00393929,0.00393929
77,9082.32,1.3016,0.98794,1.24039,0.80925,0.72891,0.80584,0.48164,1.18249,1.27475,1.1062,0.00392514,0.00392514,0.00392514
78,9199.59,1.30319,0.99527,1.24622,0.80693,0.72953,0.80622,0.48177,1.18139,1.26711,1.10541,0.003911,0.003911,0.003911
79,9316.52,1.30446,0.9896,1.24366,0.80818,0.72914,0.80629,0.48242,1.18095,1.26247,1.10495,0.00389686,0.00389686,0.00389686
80,9433.95,1.29447,0.98437,1.2411,0.80881,0.72918,0.80654,0.4823,1.18097,1.25982,1.1048,0.00388271,0.00388271,0.00388271
81,9551.2,1.28827,0.97187,1.23676,0.81756,0.7199,0.80634,0.48272,1.18043,1.25508,1.10442,0.00386857,0.00386857,0.00386857
82,9668.15,1.29693,0.98586,1.24035,0.80887,0.73033,0.80698,0.48321,1.17981,1.24992,1.10414,0.00385443,0.00385443,0.00385443
83,9785.59,1.29096,0.98047,1.23814,0.81162,0.7282,0.80704,0.48338,1.17984,1.24458,1.10414,0.00384029,0.00384029,0.00384029
84,9902.98,1.2864,0.9733,1.23453,0.81845,0.72076,0.80677,0.48422,1.17944,1.23959,1.10389,0.00382614,0.00382614,0.00382614
85,10020.5,1.28752,0.97366,1.2362,0.81714,0.72296,0.80701,0.48413,1.17913,1.23326,1.10333,0.003812,0.003812,0.003812
86,10138,1.28404,0.96387,1.22904,0.81386,0.72466,0.80714,0.48433,1.17893,1.22763,1.10333,0.00379786,0.00379786,0.00379786
87,10254.9,1.27803,0.96031,1.229,0.81208,0.72864,0.80773,0.48416,1.17871,1.22275,1.10306,0.00378371,0.00378371,0.00378371
88,10372.3,1.28576,0.95678,1.22818,0.81319,0.72879,0.80779,0.48453,1.17829,1.21965,1.10264,0.00376957,0.00376957,0.00376957
89,10489.1,1.27832,0.94572,1.22625,0.81268,0.73052,0.808,0.48476,1.17763,1.21693,1.10226,0.00375543,0.00375543,0.00375543
90,10606.2,1.27657,0.95504,1.22673,0.81512,0.72962,0.8085,0.485,1.17682,1.21067,1.10177,0.00374129,0.00374129,0.00374129
91,10723.5,1.27666,0.947,1.22296,0.81433,0.73066,0.8088,0.48551,1.17627,1.20797,1.10145,0.00372714,0.00372714,0.00372714
92,10841,1.27212,0.94578,1.22563,0.81448,0.72887,0.80889,0.4862,1.17641,1.20855,1.10138,0.003713,0.003713,0.003713
93,10958.1,1.27515,0.94652,1.22388,0.81382,0.72911,0.80859,0.4866,1.17598,1.2096,1.1011,0.00369886,0.00369886,0.00369886
94,11075,1.27027,0.9442,1.21796,0.8112,0.73218,0.80946,0.48667,1.17531,1.20797,1.10059,0.00368471,0.00368471,0.00368471
95,11192.4,1.26706,0.93262,1.21937,0.81531,0.73004,0.80923,0.48678,1.17518,1.20284,1.10045,0.00367057,0.00367057,0.00367057
96,11309.2,1.27177,0.93796,1.22031,0.81221,0.73206,0.80974,0.48717,1.1746,1.20074,1.10001,0.00365643,0.00365643,0.00365643
97,11426.6,1.26959,0.93372,1.22144,0.81353,0.72971,0.80961,0.48715,1.17396,1.19766,1.09953,0.00364229,0.00364229,0.00364229
98,11544.1,1.26886,0.93483,1.21858,0.81376,0.72941,0.80905,0.48721,1.17383,1.195,1.09954,0.00362814,0.00362814,0.00362814
99,11661.4,1.26085,0.92101,1.21204,0.81142,0.73073,0.80915,0.48752,1.17364,1.19233,1.09932,0.003614,0.003614,0.003614
100,11778.4,1.26852,0.9286,1.21271,0.8099,0.73486,0.8115,0.48817,1.1737,1.19226,1.09901,0.00359986,0.00359986,0.00359986
101,11895.6,1.26142,0.92775,1.21784,0.81155,0.73368,0.81163,0.48838,1.17292,1.19457,1.09853,0.00358571,0.00358571,0.00358571
102,12012.7,1.25253,0.91872,1.21322,0.81189,0.73389,0.81232,0.48877,1.17279,1.19219,1.09869,0.00357157,0.00357157,0.00357157
103,12130,1.25987,0.9197,1.21279,0.81144,0.73402,0.81228,0.48881,1.17275,1.18801,1.09886,0.00355743,0.00355743,0.00355743
104,12247.1,1.25619,0.91849,1.20799,0.81111,0.73458,0.81269,0.48923,1.17257,1.18605,1.09861,0.00354329,0.00354329,0.00354329
105,12364.1,1.24992,0.91461,1.20851,0.812,0.73421,0.81348,0.48942,1.17182,1.18176,1.09844,0.00352914,0.00352914,0.00352914
106,12480.9,1.25139,0.91793,1.20777,0.81342,0.73445,0.81341,0.49006,1.17148,1.17871,1.09834,0.003515,0.003515,0.003515
107,12598.2,1.25283,0.90317,1.20594,0.81525,0.73381,0.81319,0.49014,1.17073,1.17934,1.09821,0.00350086,0.00350086,0.00350086
108,12715.7,1.25269,0.91212,1.20513,0.81498,0.73604,0.81437,0.49049,1.17051,1.17943,1.09799,0.00348671,0.00348671,0.00348671
109,12832.8,1.24516,0.90181,1.20547,0.81731,0.73508,0.81489,0.49032,1.17062,1.17947,1.09791,0.00347257,0.00347257,0.00347257
110,12950.1,1.24816,0.91128,1.20568,0.81588,0.73586,0.81467,0.49027,1.17008,1.18087,1.09768,0.00345843,0.00345843,0.00345843
111,13067.5,1.24824,0.90628,1.2035,0.81555,0.73762,0.81491,0.49023,1.16992,1.18092,1.09779,0.00344429,0.00344429,0.00344429
112,13184.4,1.24638,0.89741,1.19838,0.81574,0.7361,0.81472,0.4904,1.17047,1.17745,1.09775,0.00343014,0.00343014,0.00343014
113,13301.2,1.23942,0.89688,1.20152,0.81684,0.73733,0.81495,0.4908,1.17014,1.17037,1.09758,0.003416,0.003416,0.003416
114,13418.1,1.24316,0.902,1.20048,0.81687,0.73689,0.81525,0.49069,1.17009,1.16732,1.09768,0.00340186,0.00340186,0.00340186
115,13535,1.23918,0.89056,1.19689,0.81636,0.73715,0.81531,0.49076,1.16971,1.16202,1.09768,0.00338771,0.00338771,0.00338771
116,13652.2,1.23998,0.89094,1.19543,0.81918,0.73498,0.81549,0.49094,1.16959,1.15708,1.09734,0.00337357,0.00337357,0.00337357
117,13769.1,1.23183,0.88357,1.19135,0.81945,0.7347,0.81576,0.49121,1.16903,1.15098,1.09714,0.00335943,0.00335943,0.00335943
118,13885.9,1.23823,0.88896,1.19501,0.82057,0.73401,0.81619,0.49127,1.16908,1.14552,1.09717,0.00334529,0.00334529,0.00334529
119,14002.4,1.23444,0.88041,1.19594,0.82064,0.73604,0.81648,0.49125,1.16896,1.13932,1.09716,0.00333114,0.00333114,0.00333114
120,14119.4,1.23172,0.88232,1.1929,0.82175,0.73421,0.81713,0.49161,1.16876,1.1362,1.09698,0.003317,0.003317,0.003317
121,14236.3,1.23099,0.87699,1.19246,0.82102,0.7355,0.81749,0.49199,1.16891,1.13319,1.09676,0.00330286,0.00330286,0.00330286
