epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5120.24,1.38282,1.12958,1.30178,0.79033,0.70884,0.79074,0.47221,1.17413,1.38004,1.09579,0.00442014,0.00442014,0.00442014
43,5243.67,1.38555,1.13867,1.30462,0.78995,0.71239,0.79117,0.47263,1.17573,1.38033,1.09483,0.004406,0.004406,0.004406
44,5366.69,1.37464,1.11978,1.29585,0.79914,0.70903,0.79418,0.47585,1.17529,1.39908,1.09403,0.00439186,0.00439186,0.00439186
45,5490.22,1.36965,1.1087,1.29165,0.79701,0.71278,0.7951,0.47777,1.17576,1.43689,1.09457,0.00437771,0.00437771,0.00437771
46,5613.09,1.36716,1.10626,1.28894,0.79894,0.71122,0.79482,0.47671,1.17442,1.48708,1.09443,0.00436357,0.00436357,0.00436357
47,5735.85,1.36855,1.10347,1.28974,0.78811,0.71967,0.79505,0.47751,1.17423,1.46649,1.09383,0.00434943,0.00434943,0.00434943
48,5859.11,1.36593,1.10173,1.2869,0.79357,0.71611,0.79628,0.47844,1.17241,1.46669,1.09264,0.00433529,0.00433529,0.00433529
49,5982.38,1.36183,1.08611,1.28863,0.79285,0.71823,0.79816,0.47945,1.17117,1.46271,1.09126,0.00432114,0.00432114,0.00432114
50,6105.5,1.35691,1.09045,1.28234,0.80299,0.71372,0.80038,0.48093,1.17141,1.48291,1.09069,0.004307,0.004307,0.004307
51,6228.88,1.35474,1.08327,1.28204,0.7936,0.72187,0.80223,0.48149,1.17156,1.46694,1.09044,0.00429286,0.00429286,0.00429286
52,6351.88,1.35524,1.08099,1.28458,0.79303,0.72078,0.80299,0.48198,1.16993,1.47394,1.08901,0.00427871,0.00427871,0.00427871
53,6474.93,1.35107,1.08697,1.27921,0.79605,0.72246,0.80396,0.48234,1.1684,1.48481,1.0876,0.00426457,0.00426457,0.00426457
