epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4957.93,1.38385,1.13226,1.30401,0.79709,0.71165,0.79402,0.47857,1.17585,1.34239,1.11684,0.00442014,0.00442014,0.00442014
43,5076.47,1.38262,1.12994,1.30254,0.798,0.71773,0.79449,0.4795,1.17629,1.37399,1.11554,0.004406,0.004406,0.004406
44,5194.47,1.38355,1.13081,1.29967,0.80004,0.71514,0.79735,0.48108,1.18101,1.36994,1.11832,0.00439186,0.00439186,0.00439186
45,5312.3,1.3732,1.11691,1.29888,0.79202,0.72108,0.7975,0.48315,1.18124,1.35677,1.11985,0.00437771,0.00437771,0.00437771
46,5429.65,1.37142,1.11523,1.29768,0.79996,0.71807,0.7992,0.4852,1.17868,1.37024,1.11804,0.00436357,0.00436357,0.00436357
47,5547.13,1.37484,1.11154,1.29679,0.80767,0.71731,0.79973,0.48569,1.17312,1.32911,1.1162,0.00434943,0.00434943,0.00434943
48,5665.09,1.3749,1.117,1.3009,0.794,0.72643,0.79971,0.4852,1.17441,1.28529,1.11579,0.00433529,0.00433529,0.00433529
49,5783.13,1.36229,1.10213,1.2889,0.79843,0.72139,0.80067,0.48461,1.1745,1.30241,1.11575,0.00432114,0.00432114,0.00432114
50,5900.61,1.36151,1.09248,1.2914,0.8001,0.72366,0.80171,0.48459,1.17454,1.29451,1.11541,0.004307,0.004307,0.004307
51,6018.41,1.36787,1.09059,1.28979,0.79884,0.72873,0.80226,0.48589,1.17608,1.27674,1.11642,0.00429286,0.00429286,0.00429286
52,6135.84,1.36099,1.08537,1.27995,0.80079,0.73105,0.80457,0.48751,1.17529,1.29356,1.11565,0.00427871,0.00427871,0.00427871
53,6253.77,1.36065,1.0862,1.28601,0.80242,0.72851,0.80498,0.48802,1.17343,1.28553,1.11491,0.00426457,0.00426457,0.00426457
54,6371.62,1.35415,1.07616,1.28451,0.8048,0.72414,0.80585,0.48912,1.17253,1.27592,1.11354,0.00425043,0.00425043,0.00425043
55,6489.25,1.35023,1.06932,1.28209,0.8092,0.72203,0.80731,0.49007,1.17132,1.26174,1.11264,0.00423629,0.00423629,0.00423629
56,6606.95,1.35047,1.07268,1.27886,0.80445,0.72955,0.80779,0.4905,1.16953,1.25891,1.11111,0.00422214,0.00422214,0.00422214
57,6724.87,1.34947,1.06309,1.27937,0.80826,0.72677,0.80813,0.4904,1.16995,1.24848,1.11115,0.004208,0.004208,0.004208
58,6842.76,1.34902,1.05936,1.27708,0.80256,0.73052,0.807,0.4912,1.16945,1.23536,1.11122,0.00419386,0.00419386,0.00419386
59,6960.28,1.34197,1.06056,1.27545,0.80385,0.72978,0.8075,0.49151,1.16997,1.2332,1.11131,0.00417971,0.00417971,0.00417971
60,7077.73,1.33823,1.05266,1.27327,0.79948,0.7318,0.80825,0.49163,1.17131,1.22985,1.11245,0.00416557,0.00416557,0.00416557
61,7195.3,1.33645,1.04833,1.27312,0.80564,0.72878,0.80873,0.49282,1.17207,1.22628,1.11304,0.00415143,0.00415143,0.00415143
62,7312.93,1.32828,1.03373,1.26856,0.80637,0.72787,0.80948,0.49259,1.17271,1.21451,1.11308,0.00413729,0.00413729,0.00413729
63,7429.96,1.33309,1.04374,1.26506,0.80831,0.72949,0.80987,0.49293,1.17325,1.20969,1.11353,0.00412314,0.00412314,0.00412314
64,7547.44,1.33041,1.03539,1.26701,0.81167,0.72844,0.81024,0.49318,1.17369,1.20758,1.11353,0.004109,0.004109,0.004109
65,7664.39,1.33198,1.0333,1.2658,0.80824,0.72979,0.81062,0.49364,1.17384,1.2038,1.11371,0.00409486,0.00409486,0.00409486
66,7781.79,1.32316,1.03534,1.25907,0.8084,0.72978,0.8108,0.49411,1.1737,1.19937,1.11357,0.00408071,0.00408071,0.00408071
67,7899.41,1.31717,1.01416,1.25946,0.80686,0.73021,0.81113,0.49464,1.17364,1.19442,1.11403,0.00406657,0.00406657,0.00406657
68,8016.66,1.32372,1.01906,1.25903,0.80764,0.7316,0.81138,0.49463,1.17346,1.18482,1.11374,0.00405243,0.00405243,0.00405243
