epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.9889,1.04118,0.67459,1.15417,0.94055,0.96815,0.9867,0.77747,0.80675,0.43386,0.97037,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429,0.00994286,0.00331429
2,49.3603,1.0716,0.6932,1.15788,0.93865,0.93873,0.97807,0.7412,0.88988,0.49177,1.01401,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568,0.019877,0.00662568
3,69.5547,1.12323,0.74967,1.18324,0.90326,0.89872,0.95314,0.67855,1.02594,0.58427,1.09139,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508,0.0297452,0.00991508
4,88.8048,1.18133,0.81451,1.21657,0.88766,0.87472,0.93178,0.63511,1.0822,0.66787,1.1356,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,107.761,1.21475,0.84393,1.23374,0.88365,0.85818,0.93614,0.64211,1.07588,0.70163,1.13079,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,127.122,1.19493,0.84065,1.22332,0.86954,0.86057,0.9201,0.6136,1.13548,0.73992,1.17215,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,146.488,1.21078,0.85538,1.22182,0.888,0.8629,0.93337,0.62576,1.13116,0.68355,1.15674,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,165.611,1.22567,0.86777,1.24195,0.89034,0.83448,0.91558,0.60863,1.152,0.74481,1.1868,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,184.849,1.22145,0.84472,1.23736,0.87146,0.84674,0.91033,0.59301,1.18953,0.71976,1.18827,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,203.925,1.22214,0.88052,1.23362,0.87098,0.84279,0.90451,0.59666,1.16632,0.76995,1.19531,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,223.06,1.22923,0.87763,1.24448,0.8727,0.83397,0.90727,0.59434,1.20178,0.75668,1.20725,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,242.326,1.2027,0.84501,1.22964,0.86539,0.84984,0.90758,0.59115,1.21116,0.7472,1.22652,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,261.49,1.20479,0.84957,1.22683,0.87592,0.83803,0.91298,0.58576,1.21086,0.74932,1.21526,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,280.6,1.2115,0.8551,1.23249,0.89557,0.83982,0.92096,0.60033,1.18865,0.71826,1.20089,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,300.043,1.21171,0.83295,1.22329,0.88337,0.82967,0.91323,0.58944,1.1942,0.74242,1.20779,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,319.434,1.22587,0.85911,1.23778,0.86968,0.83841,0.90423,0.58688,1.1857,0.73811,1.20406,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,338.675,1.20979,0.8373,1.22247,0.85349,0.82315,0.90736,0.59629,1.20929,0.73167,1.20381,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,358.19,1.19239,0.83711,1.21431,0.89124,0.80796,0.90735,0.59153,1.22062,0.74524,1.21684,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,377.507,1.20232,0.83648,1.22746,0.83775,0.83404,0.88664,0.57013,1.22658,0.77246,1.24204,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,396.873,1.19371,0.84524,1.22035,0.84156,0.85212,0.90753,0.59429,1.19282,0.75205,1.21208,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,413.95,1.19032,0.82764,1.2154,0.87282,0.84257,0.90563,0.58768,1.22039,0.75255,1.22792,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
